nct_number,study_title,phase,enrollment,funder_type,sponsor,start_date,completion_date,duration_months,start_year,allocation,masking,primary_purpose,intervention_model,is_multinational,country_count,scope
NCT00162175,PPAR-COMBO With Sulfonylurea,Phase 3,534,INDUSTRY,Bristol-Myers Squibb,2003-07-01,2005-11-01,28.1,2003.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,1,15,Multinational
NCT07169981,Effect of Empagliflozin 10 vs 25 mg on LV Remodeling in Diabetic Patients With Anterior STEMI With Reduced LVEF,Phase 2,200,OTHER,Ain Shams University,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01252810,Safety Study of GE-145 320 mg I/mL Injection vs. Iopamidol 370 mg I/mL in Elderly Subjects Undergoing Coronary Procedure,Phase 2,284,INDUSTRY,GE Healthcare,2010-11-01,2012-12-01,25.0,2010.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",DIAGNOSTIC,PARALLEL,0,1,Single Country
NCT04022993,Efficacy and Safety of Insulin RinGlar® Compared to Lantus® SoloStar® in Type 1 Diabetes Mellitus Patients,Phase 3,180,INDUSTRY,Geropharm,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT04023344,Efficacy and Safety of Insulin Lispro Biphasic 25 Compared to Humalog® Mix 25 in Type 2 Diabetes Mellitus Patients,Phase 3,210,INDUSTRY,Geropharm,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT03352674,Immunogenicity Study of Insulin Glargine Ezelin vs Lantus in Type 2 Diabetes Mellitus Patients,Phase 2,133,OTHER,Indonesia University,2016-09-01,,,2016.0,RANDOMIZED,SINGLE (PARTICIPANT),TREATMENT,PARALLEL,0,1,Single Country
NCT01507038,Safety and Efficacy of YH14617 in Diabetes Mellitus,Phase 2,84,INDUSTRY,Yuhan Corporation,2011-12-01,2015-02-01,38.0,2011.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01377844,Efficacy and Safety of EGT0001442 in Patients With Type 2 Diabetes Mellitus,Phase 2,288,INDUSTRY,Theracos,2011-12-01,2013-12-01,24.0,2011.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00761852,Signaling Mechanisms and Vascular Function in Diabetes Mellitus,Phase 2/3,30,OTHER,Brigham and Women's Hospital,1999-05-01,2007-10-01,101.0,1999.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",BASIC_SCIENCE,CROSSOVER,0,0,Single Country
NCT06952231,Effect of Sitagliptin and Empagliflozin in Combination With Metformin on Hs-CRP Levels in Patients With Type 2 Diabetes Mellitus,Phase 3,50,OTHER,University of Lahore,,,,,RANDOMIZED,NONE,DIAGNOSTIC,PARALLEL,0,1,Single Country
NCT01162876,A Clinical Pharmacology Study of Saxagliptin in Patients With Type 2 Diabetes Mellitus,Phase 3,20,INDUSTRY,"Kyowa Kirin Co., Ltd.",2010-07-01,2010-11-01,4.0,2010.0,,NONE,OTHER,SINGLE_GROUP,0,1,Single Country
